hero,total_games,wins,losses,win_rate,bans,picks_bans,source
Edith,98,47,51,0.4796,43,141,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Faramis,50,33,17,0.66,26,76,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Claude,39,17,22,0.4359,16,55,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Tigreal,35,18,17,0.5143,18,53,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Jawhead,31,12,19,0.3871,12,43,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Lunox,23,12,11,0.5217,0,23,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Arlott,23,12,11,0.5217,0,23,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Nolan,23,11,12,0.4783,0,23,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Phoveus,22,11,11,0.5,0,22,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Luo Yi,22,14,8,0.6364,8,30,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Fanny,21,6,15,0.2857,6,27,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Ruby,21,9,12,0.4286,0,21,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Terizla,20,13,7,0.65,0,20,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Grock,20,9,11,0.45,9,29,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Zhask,20,8,12,0.4,0,20,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Vexana,18,7,11,0.3889,0,18,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Roger,18,8,10,0.44439999999999996,0,18,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Hylos,17,10,7,0.5882000000000001,0,17,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Barats,17,9,8,0.5294,7,24,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Valentina,17,5,12,0.29410000000000003,0,17,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Alpha,17,6,11,0.3529,0,17,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Mathilda,17,13,4,0.7646999999999999,0,17,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Rebellion Esports,17,5,12,0.29410000000000003,0,17,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Khufra,16,5,11,0.3125,6,22,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Wanwan,16,11,5,0.6875,9,25,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Moskov,16,7,9,0.4375,0,16,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Harith,16,8,8,0.5,0,16,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Julian,15,9,6,0.6,0,15,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Yve,15,5,10,0.3333,0,15,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Akai,15,5,10,0.3333,5,20,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Franco,15,8,7,0.5333,6,21,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Joy,14,3,11,0.2143,11,25,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Natan,14,6,8,0.4286,0,14,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Geek Fam ID,14,7,7,0.5,0,14,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Zhuxin,14,10,4,0.7143,0,14,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
X.Borg,13,8,5,0.6154,7,20,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Hayabusa,13,4,9,0.3077,0,13,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Gatotkaca,12,7,5,0.5832999999999999,0,12,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Beatrix,11,5,6,0.4545,0,11,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Alice,11,4,7,0.3636,7,18,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Minotaur,11,5,6,0.4545,4,15,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Ling,11,6,5,0.5455,0,11,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Khaleed,11,6,5,0.5455,0,11,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Angela,11,6,5,0.5455,0,11,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Lancelot,11,7,4,0.6364,6,17,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Karrie,10,3,7,0.3,0,10,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Dewa United Esports,10,4,6,0.4,0,10,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Bigetron by Vitality,10,6,4,0.6,0,10,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Lolita,10,3,7,0.3,8,18,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Benedetta,9,4,5,0.44439999999999996,4,13,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Clint,9,4,5,0.44439999999999996,4,13,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Lylia,9,4,5,0.44439999999999996,3,12,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Chou,9,7,2,0.7778,0,9,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Thamuz,8,5,3,0.625,5,13,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Gloo,7,2,5,0.2857,3,10,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Suyou,7,5,2,0.7143,0,7,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Bane,7,4,3,0.5714,0,7,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Carmilla,7,5,2,0.7143,4,11,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Irithel,7,5,2,0.7143,2,9,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Chip,7,3,4,0.4286,2,9,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Hilda,6,5,1,0.8332999999999999,4,10,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Kaja,6,4,2,0.6667000000000001,0,6,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Brody,5,2,3,0.4,2,7,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Yu Zhong,5,2,3,0.4,3,8,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Ixia,3,2,1,0.6667000000000001,1,4,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Rafaela,3,1,2,0.3333,3,6,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Bruno,3,1,2,0.3333,0,3,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Hanabi,2,0,2,0.0,1,3,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Novaria,2,0,2,0.0,1,3,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Melissa,2,0,2,0.0,1,3,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Helcurt,2,1,1,0.5,1,3,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Guinevere,2,1,1,0.5,2,4,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Fredrinn,1,1,0,1.0,0,1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Paquito,1,0,1,0.0,0,1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Atlas,1,1,0,1.0,0,1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Cecilion,1,1,0,1.0,0,1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Natalia,1,1,0,1.0,1,2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Pharsa,1,1,0,1.0,0,1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Uranus,1,1,0,1.0,1,2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Masha,1,1,0,1.0,0,1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Yin,1,1,0,1.0,1,2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Cici,1,0,1,0.0,0,1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Kadita,1,0,1,0.0,0,1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Martis,1,0,1,0.0,0,1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Minsitthar,1,0,1,0.0,0,1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Nana,1,0,1,0.0,1,2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Saber,0,0,0,0.0,0,0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Edith,101,60,41,0.5941,49,150,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Mathilda,32,18,14,0.5625,16,48,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Zhuxin,30,14,16,0.4667,7,37,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Suyou,29,18,11,0.6207,11,40,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Jawhead,28,12,16,0.4286,13,41,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Grock,28,13,15,0.4643,9,37,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Terizla,26,19,7,0.7308,0,26,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Hayabusa,24,11,13,0.4583,0,24,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Aurora Gaming PH,21,15,6,0.7143,0,21,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Chou,20,10,10,0.5,0,20,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Julian,20,10,10,0.5,0,20,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Tigreal,20,9,11,0.45,0,20,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Yve,20,8,12,0.4,16,36,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Harith,20,13,7,0.65,0,20,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Natan,19,9,10,0.47369999999999995,10,29,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Vexana,19,10,9,0.5263,0,19,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Moskov,19,12,7,0.6315999999999999,0,19,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Nolan,19,13,6,0.6842,0,19,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Hylos,18,8,10,0.44439999999999996,0,18,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Valentina,17,9,8,0.5294,0,17,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
ONIC Philippines,17,14,3,0.8234999999999999,0,17,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Roger,17,8,9,0.4706,0,17,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Fanny,17,9,8,0.5294,6,23,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Ling,16,8,8,0.5,0,16,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Omega Esports,15,9,6,0.6,0,15,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Arlott,15,3,12,0.2,0,15,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Lolita,15,7,8,0.4667,10,25,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Claude,14,8,6,0.5714,0,14,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Phoveus,14,9,5,0.6429,0,14,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
AP.Bren,14,9,5,0.6429,0,14,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Lylia,13,10,3,0.7692,4,17,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
RSG Philippines,13,6,7,0.46149999999999997,0,13,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Lunox,12,6,6,0.5,4,16,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Khaleed,12,6,6,0.5,0,12,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Minotaur,12,9,3,0.75,5,17,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Team Liquid PH,12,8,4,0.6667000000000001,0,12,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Faramis,11,6,5,0.5455,0,11,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Gatotkaca,11,3,8,0.2727,0,11,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Bane,11,6,5,0.5455,10,21,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Ruby,11,6,5,0.5455,0,11,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
X.Borg,10,5,5,0.5,4,14,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Bruno,10,4,6,0.4,2,12,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Zhask,10,5,5,0.5,0,10,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Clint,9,4,5,0.44439999999999996,5,14,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Alice,8,4,4,0.5,3,11,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Cici,8,6,2,0.75,4,12,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
TNC Pro Team,8,1,7,0.125,0,8,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Angela,7,3,4,0.4286,4,11,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Kaja,7,3,4,0.4286,1,8,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Wanwan,7,3,4,0.4286,1,8,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Karrie,7,4,3,0.5714,0,7,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Blacklist International,7,3,4,0.4286,0,7,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Alpha,7,4,3,0.5714,0,7,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Beatrix,6,5,1,0.8332999999999999,0,6,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Gloo,6,3,3,0.5,4,10,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Khufra,6,3,3,0.5,3,9,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Luo Yi,6,3,3,0.5,0,6,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Rafaela,5,2,3,0.4,0,5,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Carmilla,5,4,1,0.8,2,7,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Benedetta,4,1,3,0.25,2,6,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Thamuz,4,1,3,0.25,2,6,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Joy,4,1,3,0.25,2,6,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Barats,4,2,2,0.5,3,7,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Melissa,4,2,2,0.5,1,5,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Belerick,3,2,1,0.6667000000000001,1,4,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Lancelot,3,2,1,0.6667000000000001,3,6,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Ixia,2,1,1,0.5,1,3,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Akai,2,2,0,1.0,1,3,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Cecilion,2,2,0,1.0,2,4,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Franco,2,2,0,1.0,1,3,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Helcurt,2,0,2,0.0,1,3,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Yu Zhong,2,0,2,0.0,2,4,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Kagura,1,0,1,0.0,0,1,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Martis,1,0,1,0.0,1,2,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Minsitthar,1,0,1,0.0,1,2,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Masha,1,1,0,1.0,0,1,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Miya,1,0,1,0.0,1,2,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Fredrinn,1,0,1,0.0,1,2,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Novaria,1,0,1,0.0,1,2,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Guinevere,1,0,1,0.0,1,2,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Hanabi,1,1,0,1.0,0,1,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Diggie,1,0,1,0.0,1,2,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Baxia,1,0,1,0.0,1,2,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Nana,1,1,0,1.0,0,1,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Hanzo,1,1,0,1.0,1,2,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Paquito,1,1,0,1.0,0,1,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Brody,1,1,0,1.0,0,1,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Chip,0,0,0,0.0,0,0,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
Chou,57,31,26,0.5439,30,87,https://liquipedia.net/mobilelegends/MPL/Malaysia/Season_14
Claude,29,13,16,0.4483,11,40,https://liquipedia.net/mobilelegends/MPL/Malaysia/Season_14
Natan,27,18,9,0.6667000000000001,15,42,https://liquipedia.net/mobilelegends/MPL/Malaysia/Season_14
Terizla,24,8,16,0.3333,10,34,https://liquipedia.net/mobilelegends/MPL/Malaysia/Season_14
Lunox,19,12,7,0.6315999999999999,11,30,https://liquipedia.net/mobilelegends/MPL/Malaysia/Season_14
Cici,18,7,11,0.3889,11,29,https://liquipedia.net/mobilelegends/MPL/Malaysia/Season_14
Beatrix,17,11,6,0.6470999999999999,10,27,https://liquipedia.net/mobilelegends/MPL/Malaysia/Season_14
Gatotkaca,16,6,10,0.375,0,16,https://liquipedia.net/mobilelegends/MPL/Malaysia/Season_14
Jawhead,15,7,8,0.4667,10,25,https://liquipedia.net/mobilelegends/MPL/Malaysia/Season_14
Nolan,15,8,7,0.5333,0,15,https://liquipedia.net/mobilelegends/MPL/Malaysia/Season_14
Hylos,14,10,4,0.7143,0,14,https://liquipedia.net/mobilelegends/MPL/Malaysia/Season_14
Vexana,14,7,7,0.5,0,14,https://liquipedia.net/mobilelegends/MPL/Malaysia/Season_14
Phoveus,14,7,7,0.5,0,14,https://liquipedia.net/mobilelegends/MPL/Malaysia/Season_14
Hayabusa,13,7,6,0.5385,0,13,https://liquipedia.net/mobilelegends/MPL/Malaysia/Season_14
Suyou,13,4,9,0.3077,0,13,https://liquipedia.net/mobilelegends/MPL/Malaysia/Season_14
Fanny,13,8,5,0.6154,5,18,https://liquipedia.net/mobilelegends/MPL/Malaysia/Season_14
Harith,13,6,7,0.46149999999999997,0,13,https://liquipedia.net/mobilelegends/MPL/Malaysia/Season_14
Arlott,12,5,7,0.4167,0,12,https://liquipedia.net/mobilelegends/MPL/Malaysia/Season_14
Tigreal,12,7,5,0.5832999999999999,6,18,https://liquipedia.net/mobilelegends/MPL/Malaysia/Season_14
Faramis,12,6,6,0.5,7,19,https://liquipedia.net/mobilelegends/MPL/Malaysia/Season_14
Mathilda,12,9,3,0.75,0,12,https://liquipedia.net/mobilelegends/MPL/Malaysia/Season_14
Grock,12,7,5,0.5832999999999999,0,12,https://liquipedia.net/mobilelegends/MPL/Malaysia/Season_14
