hero,total_games,wins,losses,win_rate,bans,picks_bans,source
Zetian,2,2,0,1.0,0,2,https://liquipedia.net/mobilelegends/IESF/World_Esports_Championships/2025/Women
Obsidia,2,0,2,0.0,2,4,https://liquipedia.net/mobilelegends/IESF/World_Esports_Championships/2025/Women
Mathilda,2,0,2,0.0,0,2,https://liquipedia.net/mobilelegends/IESF/World_Esports_Championships/2025/Women
Thamuz,2,1,1,0.5,2,4,https://liquipedia.net/mobilelegends/IESF/World_Esports_Championships/2025/Women
Terizla,2,1,1,0.5,1,3,https://liquipedia.net/mobilelegends/IESF/World_Esports_Championships/2025/Women
Badang,2,1,1,0.5,1,3,https://liquipedia.net/mobilelegends/IESF/World_Esports_Championships/2025/Women
Chou,2,2,0,1.0,2,4,https://liquipedia.net/mobilelegends/IESF/World_Esports_Championships/2025/Women
Roger,2,0,2,0.0,0,2,https://liquipedia.net/mobilelegends/IESF/World_Esports_Championships/2025/Women
Carmilla,2,1,1,0.5,0,2,https://liquipedia.net/mobilelegends/IESF/World_Esports_Championships/2025/Women
Alice,2,1,1,0.5,0,2,https://liquipedia.net/mobilelegends/IESF/World_Esports_Championships/2025/Women
Alpha,2,1,1,0.5,0,2,https://liquipedia.net/mobilelegends/IESF/World_Esports_Championships/2025/Women
Fanny,2,1,1,0.5,0,2,https://liquipedia.net/mobilelegends/IESF/World_Esports_Championships/2025/Women
Lylia,2,2,0,1.0,0,2,https://liquipedia.net/mobilelegends/IESF/World_Esports_Championships/2025/Women
Vexana,2,0,2,0.0,1,3,https://liquipedia.net/mobilelegends/IESF/World_Esports_Championships/2025/Women
Minsitthar,1,0,1,0.0,0,1,https://liquipedia.net/mobilelegends/IESF/World_Esports_Championships/2025/Women
Novaria,1,0,1,0.0,1,2,https://liquipedia.net/mobilelegends/IESF/World_Esports_Championships/2025/Women
Lolita,1,0,1,0.0,0,1,https://liquipedia.net/mobilelegends/IESF/World_Esports_Championships/2025/Women
Belerick,1,0,1,0.0,0,1,https://liquipedia.net/mobilelegends/IESF/World_Esports_Championships/2025/Women
Martis,1,0,1,0.0,1,2,https://liquipedia.net/mobilelegends/IESF/World_Esports_Championships/2025/Women
Sun,1,1,0,1.0,0,1,https://liquipedia.net/mobilelegends/IESF/World_Esports_Championships/2025/Women
Odette,1,1,0,1.0,1,2,https://liquipedia.net/mobilelegends/IESF/World_Esports_Championships/2025/Women
Nolan,1,1,0,1.0,0,1,https://liquipedia.net/mobilelegends/IESF/World_Esports_Championships/2025/Women
Kadita,1,1,0,1.0,0,1,https://liquipedia.net/mobilelegends/IESF/World_Esports_Championships/2025/Women
Benedetta,1,0,1,0.0,1,2,https://liquipedia.net/mobilelegends/IESF/World_Esports_Championships/2025/Women
Chip,1,1,0,1.0,0,1,https://liquipedia.net/mobilelegends/IESF/World_Esports_Championships/2025/Women
Melissa,1,0,1,0.0,0,1,https://liquipedia.net/mobilelegends/IESF/World_Esports_Championships/2025/Women
Julian,1,0,1,0.0,0,1,https://liquipedia.net/mobilelegends/IESF/World_Esports_Championships/2025/Women
Franco,1,0,1,0.0,0,1,https://liquipedia.net/mobilelegends/IESF/World_Esports_Championships/2025/Women
Wanwan,1,1,0,1.0,0,1,https://liquipedia.net/mobilelegends/IESF/World_Esports_Championships/2025/Women
Jawhead,1,1,0,1.0,0,1,https://liquipedia.net/mobilelegends/IESF/World_Esports_Championships/2025/Women
Clint,1,1,0,1.0,0,1,https://liquipedia.net/mobilelegends/IESF/World_Esports_Championships/2025/Women
Valir,1,1,0,1.0,0,1,https://liquipedia.net/mobilelegends/IESF/World_Esports_Championships/2025/Women
Akai,1,0,1,0.0,0,1,https://liquipedia.net/mobilelegends/IESF/World_Esports_Championships/2025/Women
Claude,1,1,0,1.0,0,1,https://liquipedia.net/mobilelegends/IESF/World_Esports_Championships/2025/Women
Bruno,1,1,0,1.0,0,1,https://liquipedia.net/mobilelegends/IESF/World_Esports_Championships/2025/Women
Floryn,0,0,0,0.0,0,0,https://liquipedia.net/mobilelegends/IESF/World_Esports_Championships/2025/Women
Luo Yi,0,0,0,0.0,0,0,https://liquipedia.net/mobilelegends/IESF/World_Esports_Championships/2025/Women
Valentina,0,0,0,0.0,0,0,https://liquipedia.net/mobilelegends/IESF/World_Esports_Championships/2025/Women
Granger,38,19,19,0.5,22,60,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Hayabusa,18,10,8,0.5556,6,24,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Moskov,17,11,6,0.6470999999999999,7,24,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Uranus,13,6,7,0.46149999999999997,5,18,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Kimmy,12,6,6,0.5,0,12,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Selena,11,6,5,0.5455,4,15,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Bruno,11,4,7,0.3636,0,11,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Zhuxin,11,6,5,0.5455,0,11,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Yu Zhong,11,5,6,0.4545,8,19,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Angela,10,4,6,0.4,5,15,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Joy,9,5,4,0.5556,0,9,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Arlott,9,2,7,0.22219999999999998,0,9,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Kalea,9,5,4,0.5556,0,9,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Gloo,9,4,5,0.44439999999999996,4,13,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Lapu-Lapu,8,5,3,0.625,0,8,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Pharsa,8,5,3,0.625,0,8,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Yve,8,5,3,0.625,0,8,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Grock,8,6,2,0.75,0,8,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
DreamMax e-Sports,8,4,4,0.5,0,8,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Fredrinn,8,5,3,0.625,0,8,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Alpha7 Esports,7,4,3,0.5714,0,7,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
INFLUENCE RAGE,7,5,2,0.7143,0,7,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Lancelot,7,5,2,0.7143,0,7,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Esmeralda,7,3,4,0.4286,0,7,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Gatotkaca,7,3,4,0.4286,0,7,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Ruby,7,2,5,0.2857,4,11,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Terizla,7,1,6,0.1429,3,10,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Akai,7,4,3,0.5714,0,7,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Wanwan,7,3,4,0.4286,4,11,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Valentina,7,6,1,0.8571,0,7,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Hylos,7,4,3,0.5714,0,7,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Cici,7,3,4,0.4286,0,7,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Baxia,7,3,4,0.4286,0,7,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Alice,7,5,2,0.7143,0,7,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Harith,7,4,3,0.5714,0,7,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Khaleed,7,3,4,0.4286,0,7,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Lunox,6,3,3,0.5,0,6,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Phoveus,6,2,4,0.3333,0,6,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Yi Sun-shin,6,4,2,0.6667000000000001,0,6,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Zetian,5,4,1,0.8,0,5,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Mathilda,5,2,3,0.4,0,5,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Bane,5,5,0,1.0,1,6,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Fanny,5,1,4,0.2,2,7,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Black Sentence Esports,5,4,1,0.8,0,5,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Karrie,5,4,1,0.8,0,5,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Claude,5,3,2,0.6,0,5,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
ULF Esports,5,1,4,0.2,0,5,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Hilda,5,2,3,0.4,0,5,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Badang,5,1,4,0.2,3,8,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Kagura,4,2,2,0.5,1,5,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Natan,4,2,2,0.5,1,5,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Franco,4,0,4,0.0,3,7,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Guinevere,4,2,2,0.5,2,6,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Kadita,4,3,1,0.75,1,5,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
9z Team,4,3,1,0.75,0,4,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Novaria,3,2,1,0.6667000000000001,1,4,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Infinity,3,1,2,0.3333,0,3,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
X.Borg,3,2,1,0.6667000000000001,0,3,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Entity7,3,1,2,0.3333,0,3,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Chou,3,1,2,0.3333,0,3,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Vexana,2,1,1,0.5,1,3,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Irithel,2,1,1,0.5,0,2,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Chip,2,1,1,0.5,0,2,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Thamuz,2,1,1,0.5,1,3,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Beatrix,2,2,0,1.0,0,2,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Obsidia,2,1,1,0.5,0,2,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Minotaur,2,1,1,0.5,0,2,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Brody,2,1,1,0.5,1,3,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Alpha,1,0,1,0.0,0,1,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Tigreal,1,1,0,1.0,1,2,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Suyou,1,0,1,0.0,1,2,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Helcurt,1,0,1,0.0,0,1,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Kaja,1,0,1,0.0,0,1,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Ling,1,0,1,0.0,1,2,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Odette,1,0,1,0.0,0,1,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Paquito,1,0,1,0.0,0,1,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Benedetta,1,1,0,1.0,0,1,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Ixia,1,1,0,1.0,1,2,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Carmilla,1,1,0,1.0,0,1,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Balmond,1,1,0,1.0,0,1,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Faramis,1,1,0,1.0,0,1,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Lukas,1,1,0,1.0,0,1,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Diggie,1,1,0,1.0,0,1,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Belerick,1,1,0,1.0,0,1,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Atlas,1,0,1,0.0,0,1,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Barats,1,0,1,0.0,0,1,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Clint,1,1,0,1.0,0,1,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Khufra,1,1,0,1.0,0,1,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Cecilion,1,1,0,1.0,0,1,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Luo Yi,0,0,0,0.0,0,0,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Miya,0,0,0,0.0,0,0,https://liquipedia.net/mobilelegends/MPL/LATAM/Season_4
Fredrinn,52,27,25,0.5192,26,78,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Wanwan,21,10,11,0.47619999999999996,10,31,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Valentina,17,13,4,0.7646999999999999,0,17,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Paquito,17,10,7,0.5882000000000001,0,17,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Martis,16,6,10,0.375,5,21,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Brody,15,10,5,0.6667000000000001,5,20,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Yve,14,6,8,0.4286,0,14,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Floryn,14,5,9,0.35710000000000003,8,22,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Lolita,14,6,8,0.4286,8,22,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Baxia,14,8,6,0.5714,0,14,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Beatrix,14,6,8,0.4286,0,14,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Hayabusa,13,9,4,0.6923,5,18,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Esmeralda,12,4,8,0.3333,5,17,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Lapu-Lapu,12,5,7,0.4167,6,18,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Lancelot,12,5,7,0.4167,0,12,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Karrie,12,6,6,0.5,0,12,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Khufra,12,8,4,0.6667000000000001,0,12,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Pharsa,11,5,6,0.4545,0,11,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Lesley,11,7,4,0.6364,5,16,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Uranus,11,6,5,0.5455,0,11,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Ling,11,3,8,0.2727,7,18,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Claude,11,7,4,0.6364,0,11,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Grock,11,6,5,0.5455,0,11,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Ruby,10,4,6,0.4,4,14,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Melissa,10,3,7,0.3,6,16,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Terizla,10,6,4,0.6,0,10,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Randoms Esports,9,3,6,0.3333,0,9,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Bigetron Zeta,9,5,4,0.5556,0,9,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Kagura,8,6,2,0.75,4,12,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Kaja,8,6,2,0.75,0,8,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Chou,8,3,5,0.375,0,8,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Team Zeus E-sports,8,6,2,0.75,0,8,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Estes,7,3,4,0.4286,0,7,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
DreamMax e-Sports,7,5,2,0.7143,0,7,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
RRQ Akira,7,6,1,0.8571,0,7,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Malvinas Brazil,7,4,3,0.5714,0,7,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Franco,6,3,3,0.5,1,7,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Barats,6,4,2,0.6667000000000001,4,10,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Angela,6,2,4,0.3333,5,11,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Lunox,6,1,5,0.16670000000000001,2,8,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Minotaur,6,3,3,0.5,0,6,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Xavier,6,1,5,0.16670000000000001,4,10,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Kadita,6,3,3,0.5,0,6,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Gloo,6,2,4,0.3333,3,9,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
INFLUENCE RAGE,6,0,6,0.0,0,6,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
X.Borg,6,2,4,0.3333,5,11,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Fanny,5,3,2,0.6,3,8,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Harith,5,3,2,0.6,1,6,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Bane,5,4,1,0.8,0,5,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Faramis,5,4,1,0.8,0,5,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Cyber Hunters,5,2,3,0.4,0,5,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Yu Zhong,4,2,2,0.5,2,6,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Irithel,4,3,1,0.75,0,4,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Arlott,4,2,2,0.5,0,4,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Edith,4,4,0,1.0,0,4,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Joy,3,2,1,0.6667000000000001,0,3,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Hylos,3,2,1,0.6667000000000001,0,3,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Atlas,3,3,0,1.0,2,5,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Lylia,3,3,0,1.0,0,3,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Helcurt,3,1,2,0.3333,3,6,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Valir,3,1,2,0.3333,2,5,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Alpha,2,2,0,1.0,0,2,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Novaria,2,1,1,0.5,2,4,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Diggie,2,0,2,0.0,2,4,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Gord,1,0,1,0.0,1,2,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Vale,1,0,1,0.0,1,2,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Moskov,1,0,1,0.0,0,1,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Hanabi,1,0,1,0.0,0,1,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Guinevere,1,0,1,0.0,0,1,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Bruno,1,0,1,0.0,0,1,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Clint,1,0,1,0.0,0,1,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Balmond,1,0,1,0.0,0,1,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Hanzo,1,1,0,1.0,1,2,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Akai,1,1,0,1.0,0,1,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Badang,1,1,0,1.0,0,1,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Dyrroth,0,0,0,0.0,0,0,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Hilda,0,0,0,0.0,0,0,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
Phoveus,0,0,0,0.0,0,0,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5
